type_lieu;identifiant;nom;url;Distill
bibliothèque;S7787;Médiathèque du Bachut - Marguerite Duras;https://www.bm-lyon.fr/16-bibliotheques-et-un-bibliobus/mediatheque-du-bachut/;bdaniau@grandlyon.com
bibliothèque;S7788;B612 - Médiathèque de Saint Genis Laval;http://www.mediatheque-saintgenislaval.fr;bdaniau@grandlyon.com
bibliothèque;S7789;Médiathèque de Saint Genis les Ollières;https://mairie-stgenislesollieres.fr/fr/rb/1730003/mediatheque-91;bdaniau@grandlyon.com
bibliothèque;S7855;Bibliothèque des Sources;https://www.ecully.fr/culture/mediatheque/infos-pratiques-345.html;bdaniau@grandlyon.com
bibliothèque;S7760;Bibliothèque du 9ème Arrondissement Saint-Rambert;https://www.bm-lyon.fr/16-bibliotheques-et-un-bibliobus/Bibliotheque-du-9e-St-Rambert/;
bibliothèque;S7761;Médiathèque Jean Prévost;https://culture-mediatheques.ville-bron.fr/pratique/horaires-et-acces;
bibliothèque;S7765;Médiathèque Max-Pol-Fouchet;https://www.mediatheque-givors.net/accueil/Horaires;
bibliothèque;S7769;Médiathèque Ludothèque de Chassieu;http://www.bm-chassieu.fr;
bibliothèque;S7774;Bibliothèque/Documentation du Musée des Beaux-Arts;https://www.mba-lyon.fr/fr/article/bibliotheque-documentation;
bibliothèque;S7791;Médiathèque le 20;https://reseau-rebond.fr/champagne-au-mont-d-or-mediatheque-le-20;
bibliothèque;S7792;Bibliothèque de Saint Cyr;https://reseau-rebond.fr/bibliotheque-de-saint-cyr-au-mont-d-or;
bibliothèque;S7793;Bibliothèque d'Irigny;http://opac3.pergame.net/bibliotheque.irigny.fr/;
bibliothèque;S7794;Bibliothèque de Saint Romain;https://valdesaone.bibenligne.fr/saint-romain;
bibliothèque;S7795;Bibliothèque à l'Espace Fleurieu;https://www.mairie-fleurieusursaone.fr/infos-pratiques-et-demarches/bibliotheque/bibliotheque-municipale/;
bibliothèque;S7796;Centre Social et Culturel de La Mulatière;http://www.biblamulatiere.com/;
bibliothèque;S7797;Médiathèque Alphonse Daudet;http://mediathequedegenay.com/;
bibliothèque;S7799;Bibliothèque de La Tour de Salvagny;https://www.salvagny.org/ma-ville/bibliotheque/;
bibliothèque;S7800;Médiathèque Bernard Pivot;https://bm.ville-caluire.fr/cms/articleview/id/15;
bibliothèque;S7801;Médiathèque Jacques Brel;https://www.mediatheque-neuvillesursaone.fr/index/index/id_profil/63;
bibliothèque;S7802;Bibliothèque de Sathonay Camp; http://bibliotheque.ville-sathonaycamp.fr;
bibliothèque;S7803;Bibliothèque de Sathonay;https://valdesaone.bibenligne.fr/sathonay-village;
bibliothèque;S7804;Bibliothèque Marie Ghislaine Chassine;https://bm.mairie-vaulxenvelin.fr/content/bibliotheque-marie-ghislaine-chassine-sud;
bibliothèque;S7805;Bibliothèque de Saint Germain;https://valdesaone.bibenligne.fr/saint-germain;
bibliothèque;S7806;Médiathèque du Tonkin;https://mediatheques.villeurbanne.fr/2024/06/horaires-hors-vacances-dete/;
bibliothèque;S7807;La MéMO - Médiathèque d'Oullins;https://www.lamemo-oullins.fr/index.php?lvl=cmspage&pageid=6&id_rubrique=202;
bibliothèque;S7809;Bibliothèque d'Albigny;http://bibliotheque.mairie-albignysursaone.org;
bibliothèque;S7811;Médiathèque de Collonges;https://www.collongesaumontdor.fr/mes-loisirs/evenements-et-culture/la-mediatheque/;
bibliothèque;S7812;Bibliothèque de la Part-Dieu;https://www.bm-lyon.fr/16-bibliotheques-et-un-bibliobus/bibliotheque-de-la-part-dieu/;
bibliothèque;S7813;Bibliothèque de Couzon;http://mediatheque.couzonaumontdor.fr/;
bibliothèque;S7814;Bibliothèque du 3ème - Marguerite Yourcenar;https://www.bm-lyon.fr/16-bibliotheques-et-un-bibliobus/bibliotheque-lacassagne/;
bibliothèque;S7815;Bibliothèque du 3ème Arrondissement;https://www.bm-lyon.fr/16-bibliotheques-et-un-bibliobus/bibliotheque-du-3e-duguesclin/;
bibliothèque;S7817;Médiathèque Elsa Triolet;http://mediathequepierrebenite.fr;
bibliothèque;S7818;Bibliothèque Sonore de Lyon - Association des donneurs de voix;http://bslyon.fr/;
bibliothèque;S7819;Médiathèque des Marronniers;http://www.fontaines-sur-saone.fr/vie-quotidienne/culture-sports-et-loisirs/vie-culturelle/les-mediatheques/;
bibliothèque;S7820;Médiathèque de Tassin;https://mediatheque.tassinlademilune.fr/bib/ouvertures/id/1;
bibliothèque;S7821;Bibliothèque du 5ème Point du Jour;https://www.bm-lyon.fr/16-bibliotheques-et-un-bibliobus/bibliotheque-du-5e-point-du-jour/;
bibliothèque;S7822;Bibliothèque du Musée Gallo-Romain de Lyon;https://lugdunum.grandlyon.com/fr/Documentation/Bibliotheque;
bibliothèque;S7823;Médiathèque du centre;http://www.fontaines-sur-saone.fr/vie-quotidienne/culture-sports-et-loisirs/vie-culturelle/les-mediatheques/;
bibliothèque;S7824;Bibliothèque - Les Amis des Livres;https://reseau-rebond.fr/mediatheque-de-limonest;
bibliothèque;S7825;Médiathèque - Espace Culturel François Mitterrand;https://www.bm-meyzieu.fr/pratique/horaires-et-acces;
bibliothèque;S7829;Le Rize - Centre Mémoires et Société;http://mediatheques.villeurbanne.fr/2016/05/mediatheque-le-rize/;
bibliothèque;S7832;Bibliothèque du 2ème Arrondissement;https://www.bm-lyon.fr/16-bibliotheques-et-un-bibliobus/bibliotheque-du-2e/;
bibliothèque;S7833;Médiathèque de Décines;https://www.mediatheque-decines.fr/reseau/library/dec;
bibliothèque;S7836;Bibliothèque du 7ème Arrondissement Gerland;https://www.bm-lyon.fr/16-bibliotheques-et-un-bibliobus/bibliotheque-du-7e-gerland/;
bibliothèque;S7837;Bibliothèque du 7ème Guillotière - Bibliothèque Jeunesse;https://www.bm-lyon.fr/16-bibliotheques-et-un-bibliobus/bibliotheque-du-7e-guillotiere/;
bibliothèque;S7838;Bibliothèque du 7ème Jean Macé;https://www.bm-lyon.fr/16-bibliotheques-et-un-bibliobus/bibliotheque-du-7e-jean-mace/;
bibliothèque;S7839;Bibliothèque Militaire de Lyon - Ministère des Armées;https://museemilitairelyon.com/2021/07/23/la-bibliotheque-militaire-de-lyon/;
bibliothèque;S7841;Bibliothèque Raymond Chirat - Institut Lumière;http://www.institut-lumiere.org/bibliotheque/présentation.html;
bibliothèque;S7842;Bibliothèque de Montanay;https://valdesaone.bibenligne.fr/montanay;
bibliothèque;S7843;MLIS François Mitterrand;http://mediatheques.villeurbanne.fr/2016/05/maison-du-livre-de-limage-et-du-son/;
bibliothèque;S7844;Médiathèque Léo Ferré;https://www.mediatheque-grigny69.fr/cms/articleviewpreferences/libelle/VENIR/id_items/63/nb_aff/5/nb_analyse/10/display_order/DateCreationDesc/display_mode/Submenu/summary_content/FullContent;
bibliothèque;S7845;Médiathèque Roger Martin du Gard;https://mediatheque.saint-fons.fr/horaires-et-contacts;
bibliothèque;S7846;Médiathèque des Clochettes;https://mediatheque.saint-fons.fr/horaires-et-contacts;
bibliothèque;S7847;Bibliothèque Anatole France;https://bm-venissieux.fr/horaires-2-2/;
bibliothèque;S7853;Bibliothèque des Genêts;https://www.ville-bron.fr/annuaires/bibliotheque-les-genets;
bibliothèque;S7854;Bibliothèque Terraillon;https://www.ville-bron.fr/annuaires/bibliotheque-terraillon-et-bibliotheque-collectivites;
bibliothèque;S7856;Bibliothèque municipale de Lissieu;https://reseau-rebond.fr/bibliotheque-de-lissieu;
bibliothèque;S7858;Bibliothèque Marcel et Renée Roche;https://bm.mairie-vaulxenvelin.fr/content/bibliotheque-marcel-et-renee-roche-ecoin;
bibliothèque;S7859;Bibliothèque Robert Desnos;https://www.bm-venissieux.fr/;
bibliothèque;S7864;Bibliothèque de Crépieux – Les Amis du Livre;https://mediatheque.rillieuxlapape.fr/pratique/crepieux;
bibliothèque;S7865;Bibliothèque de Marcy l'Etoile;http://www.marcyletoile.fr/marcy-letoile/bibliotheque/;
bibliothèque;S7866;Bibliothèque de Poleymieux au Mont d'Or;https://www.poleymieux.fr/le-village/associations/;
bibliothèque;S8051;Médiathèque Esqale;https://bibliotheque.quincieux.fr/presentation-de-la-mediatheque;
bibliothèque;S7868;Bibliothèque de Rochetaillée sur Saône;https://valdesaone.bibenligne.fr/rochetaillee-sur-saone;
bibliothèque;S7870;Bibliothèque Léopold Sédar Senghor;https://bibliotheque.saintefoyleslyon.fr/infos-pratiques2/voir-les-horaires;
bibliothèque;S7871;Bibliothèque annexe de la Gravière;https://bibliotheque.saintefoyleslyon.fr/infos-pratiques2/voir-les-horaires;
bibliothèque;S7872;Bibliothèque de Curis au Mont d'Or;http://www.curis.fr/animation-et-culture/bibliotheque/;
bibliothèque;S7984;Bibliothèque Paul Eluard;https://bm.mairie-vaulxenvelin.fr/content/bibliotheque-paul-eluard-village;
bibliothèque;S8053;Médiathèque de Rillieux – L’Échappée;https://mediatheque.rillieuxlapape.fr/je-vais;
bibliothèque;S8442;Bibliothèque de Saint Didier au Mont D'or;https://reseau-rebond.fr/bibliotheque-de-saint-didier-au-mont-d-or-maison-meunier;
